Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"RL","Land Use","37","Central African Republic","5110","Area","6621","Arable land","2016","2016","1000 ha","1800","I","Imputed value",""
"RL","Land Use","37","Central African Republic","5110","Area","6650","Permanent crops","2016","2016","1000 ha","117","I","Imputed value",""
"RL","Land Use","37","Central African Republic","5110","Area","6655","Permanent meadows and pastures","2016","2016","1000 ha","2990","I","Imputed value",""
"RL","Land Use","37","Central African Republic","5110","Area","6621","Arable land","2017","2017","1000 ha","1800","I","Imputed value",""
"RL","Land Use","37","Central African Republic","5110","Area","6650","Permanent crops","2017","2017","1000 ha","117","I","Imputed value",""
"RL","Land Use","37","Central African Republic","5110","Area","6655","Permanent meadows and pastures","2017","2017","1000 ha","2990","I","Imputed value",""
"RL","Land Use","37","Central African Republic","5110","Area","6621","Arable land","2018","2018","1000 ha","1800","I","Imputed value",""
"RL","Land Use","37","Central African Republic","5110","Area","6650","Permanent crops","2018","2018","1000 ha","119","I","Imputed value",""
"RL","Land Use","37","Central African Republic","5110","Area","6655","Permanent meadows and pastures","2018","2018","1000 ha","2990","I","Imputed value",""
"RL","Land Use","37","Central African Republic","5110","Area","6621","Arable land","2019","2019","1000 ha","1800","I","Imputed value",""
"RL","Land Use","37","Central African Republic","5110","Area","6650","Permanent crops","2019","2019","1000 ha","119","I","Imputed value",""
"RL","Land Use","37","Central African Republic","5110","Area","6655","Permanent meadows and pastures","2019","2019","1000 ha","2990","I","Imputed value",""
"RL","Land Use","37","Central African Republic","5110","Area","6621","Arable land","2020","2020","1000 ha","1800","I","Imputed value",""
"RL","Land Use","37","Central African Republic","5110","Area","6650","Permanent crops","2020","2020","1000 ha","119","I","Imputed value",""
"RL","Land Use","37","Central African Republic","5110","Area","6655","Permanent meadows and pastures","2020","2020","1000 ha","2990","I","Imputed value",""
"RL","Land Use","37","Central African Republic","5110","Area","6621","Arable land","2021","2021","1000 ha","1800","I","Imputed value",""
"RL","Land Use","37","Central African Republic","5110","Area","6650","Permanent crops","2021","2021","1000 ha","120","I","Imputed value",""
"RL","Land Use","37","Central African Republic","5110","Area","6655","Permanent meadows and pastures","2021","2021","1000 ha","2990","I","Imputed value",""
